PriorClass0,PriorClass1,TP,TN,FP,FN,Accuracy,Sensitivity(Recall),Specificity,Precision
0.100000,0.900000,0.325301,0.250000,0.421687,0.003012,0.575301,0.990826,0.372197,0.435484
0.200000,0.800000,0.301205,0.373494,0.298193,0.027108,0.674699,0.917431,0.556054,0.502513
0.300000,0.700000,0.286145,0.418675,0.253012,0.042169,0.704819,0.871560,0.623318,0.530726
0.400000,0.600000,0.256024,0.463855,0.207831,0.072289,0.719880,0.779817,0.690583,0.551948
0.500000,0.500000,0.231928,0.496988,0.174699,0.096386,0.728916,0.706422,0.739910,0.570370
0.600000,0.400000,0.210843,0.539157,0.132530,0.117470,0.750000,0.642202,0.802691,0.614035
0.700000,0.300000,0.189759,0.560241,0.111446,0.138554,0.750000,0.577982,0.834081,0.630000
0.800000,0.200000,0.168675,0.587349,0.084337,0.159639,0.756024,0.513761,0.874439,0.666667
0.900000,0.100000,0.126506,0.632530,0.039157,0.201807,0.759036,0.385321,0.941704,0.763636
