PriorClass0,PriorClass1,TP,TN,FP,FN,Accuracy,Sensitivity(Recall),Specificity,Precision
0.100000,0.900000,0.328313,0.000000,0.671687,0.000000,0.328313,1.000000,0.000000,0.328313
0.200000,0.800000,0.328313,0.000000,0.671687,0.000000,0.328313,1.000000,0.000000,0.328313
0.300000,0.700000,0.328313,0.000000,0.671687,0.000000,0.328313,1.000000,0.000000,0.328313
0.400000,0.600000,0.328313,0.039157,0.632530,0.000000,0.367470,1.000000,0.058296,0.341693
0.500000,0.500000,0.237952,0.530120,0.141566,0.090361,0.768072,0.724771,0.789238,0.626984
0.600000,0.400000,0.039157,0.662651,0.009036,0.289157,0.701807,0.119266,0.986547,0.812500
0.700000,0.300000,0.000000,0.671687,0.000000,0.328313,0.671687,0.000000,1.000000,nan
0.800000,0.200000,0.000000,0.671687,0.000000,0.328313,0.671687,0.000000,1.000000,nan
0.900000,0.100000,0.000000,0.671687,0.000000,0.328313,0.671687,0.000000,1.000000,nan
