PriorClass0,PriorClass1,TP,TN,FP,FN,Accuracy,Sensitivity(Recall),Specificity,Precision
0.100000,0.900000,0.325301,0.192771,0.478916,0.003012,0.518072,0.990826,0.286996,0.404494
0.200000,0.800000,0.310241,0.346386,0.325301,0.018072,0.656627,0.944954,0.515695,0.488152
0.300000,0.700000,0.298193,0.439759,0.231928,0.030120,0.737952,0.908257,0.654709,0.562500
0.400000,0.600000,0.274096,0.496988,0.174699,0.054217,0.771084,0.834862,0.739910,0.610738
0.500000,0.500000,0.237952,0.530120,0.141566,0.090361,0.768072,0.724771,0.789238,0.626984
0.600000,0.400000,0.228916,0.569277,0.102410,0.099398,0.798193,0.697248,0.847534,0.690909
0.700000,0.300000,0.198795,0.602410,0.069277,0.129518,0.801205,0.605505,0.896861,0.741573
0.800000,0.200000,0.162651,0.632530,0.039157,0.165663,0.795181,0.495413,0.941704,0.805970
0.900000,0.100000,0.105422,0.650602,0.021084,0.222892,0.756024,0.321101,0.968610,0.833333
