PriorClass0,PriorClass1,TP,TN,FP,FN,Accuracy,Sensitivity(Recall),Specificity,Precision
0.100000,0.900000,0.301205,0.283133,0.388554,0.027108,0.584337,0.917431,0.421525,0.436681
0.200000,0.800000,0.277108,0.394578,0.277108,0.051205,0.671687,0.844037,0.587444,0.500000
0.300000,0.700000,0.250000,0.469880,0.201807,0.078313,0.719880,0.761468,0.699552,0.553333
0.400000,0.600000,0.228916,0.503012,0.168675,0.099398,0.731928,0.697248,0.748879,0.575758
0.500000,0.500000,0.201807,0.539157,0.132530,0.126506,0.740964,0.614679,0.802691,0.603604
0.600000,0.400000,0.186747,0.563253,0.108434,0.141566,0.750000,0.568807,0.838565,0.632653
0.700000,0.300000,0.186747,0.584337,0.087349,0.141566,0.771084,0.568807,0.869955,0.681319
0.800000,0.200000,0.159639,0.599398,0.072289,0.168675,0.759036,0.486239,0.892377,0.688312
0.900000,0.100000,0.117470,0.617470,0.054217,0.210843,0.734940,0.357798,0.919283,0.684211
