PriorClass0,PriorClass1,TP,TN,FP,FN,Accuracy,Sensitivity(Recall),Specificity,Precision
0.100000,0.900000,0.319277,0.262048,0.409639,0.009036,0.581325,0.972477,0.390135,0.438017
0.200000,0.800000,0.310241,0.397590,0.274096,0.018072,0.707831,0.944954,0.591928,0.530928
0.300000,0.700000,0.292169,0.448795,0.222892,0.036145,0.740964,0.889908,0.668161,0.567251
0.400000,0.600000,0.259036,0.500000,0.171687,0.069277,0.759036,0.788991,0.744395,0.601399
0.500000,0.500000,0.237952,0.533133,0.138554,0.090361,0.771084,0.724771,0.793722,0.632000
0.600000,0.400000,0.204819,0.566265,0.105422,0.123494,0.771084,0.623853,0.843049,0.660194
0.700000,0.300000,0.192771,0.596386,0.075301,0.135542,0.789157,0.587156,0.887892,0.719101
0.800000,0.200000,0.162651,0.626506,0.045181,0.165663,0.789157,0.495413,0.932735,0.782609
0.900000,0.100000,0.108434,0.641566,0.030120,0.219880,0.750000,0.330275,0.955157,0.782609
