PriorClass0,PriorClass1,TP,TN,FP,FN,Accuracy,Sensitivity(Recall),Specificity,Precision
0.100000,0.900000,0.325301,0.225904,0.445783,0.003012,0.551205,0.990826,0.336323,0.421875
0.200000,0.800000,0.307229,0.358434,0.313253,0.021084,0.665663,0.935780,0.533632,0.495146
0.300000,0.700000,0.292169,0.415663,0.256024,0.036145,0.707831,0.889908,0.618834,0.532967
0.400000,0.600000,0.259036,0.463855,0.207831,0.069277,0.722892,0.788991,0.690583,0.554839
0.500000,0.500000,0.231928,0.509036,0.162651,0.096386,0.740964,0.706422,0.757848,0.587786
0.600000,0.400000,0.210843,0.542169,0.129518,0.117470,0.753012,0.642202,0.807175,0.619469
0.700000,0.300000,0.192771,0.575301,0.096386,0.135542,0.768072,0.587156,0.856502,0.666667
0.800000,0.200000,0.159639,0.617470,0.054217,0.168675,0.777108,0.486239,0.919283,0.746479
0.900000,0.100000,0.108434,0.647590,0.024096,0.219880,0.756024,0.330275,0.964126,0.818182
