PriorClass0,PriorClass1,TP,TN,FP,FN,Accuracy,Sensitivity(Recall),Specificity,Precision
0.100000,0.900000,0.325301,0.156627,0.515060,0.003012,0.481928,0.990826,0.233184,0.387097
0.200000,0.800000,0.313253,0.325301,0.346386,0.015060,0.638554,0.954128,0.484305,0.474886
0.300000,0.700000,0.298193,0.436747,0.234940,0.030120,0.734940,0.908257,0.650224,0.559322
0.400000,0.600000,0.274096,0.496988,0.174699,0.054217,0.771084,0.834862,0.739910,0.610738
0.500000,0.500000,0.237952,0.533133,0.138554,0.090361,0.771084,0.724771,0.793722,0.632000
0.600000,0.400000,0.225904,0.581325,0.090361,0.102410,0.807229,0.688073,0.865471,0.714286
0.700000,0.300000,0.192771,0.608434,0.063253,0.135542,0.801205,0.587156,0.905830,0.752941
0.800000,0.200000,0.162651,0.632530,0.039157,0.165663,0.795181,0.495413,0.941704,0.805970
0.900000,0.100000,0.102410,0.650602,0.021084,0.225904,0.753012,0.311927,0.968610,0.829268
